# x y z nx ny nz
0.044474 -0.028300 0.031623 -0.370497 -0.922158 0.111160
0.112021 0.033090 0.090737 -0.694378 0.651084 0.306479
0.117105 0.040174 0.081209 -0.577281 0.774061 -0.259953
0.050162 0.046152 -0.003721 -0.244662 0.549340 -0.798978
0.085398 0.042421 0.014767 0.821519 0.569965 -0.015678
0.112211 0.001112 0.124369 0.674448 -0.011827 0.738227
0.000826 0.012865 0.028493 -0.788024 -0.240667 0.566654
0.123715 -0.059879 0.133947 0.229650 -0.972846 0.028841
0.071921 -0.036868 0.041704 -0.133861 -0.986638 -0.092883
0.126053 -0.011602 0.104237 -0.403677 -0.257209 -0.878003
0.116616 -0.009279 -0.003608 0.297184 -0.930567 0.213839
0.026575 0.018177 0.075149 -0.804195 0.063045 0.591013
0.129682 -0.001402 -0.005827 0.190422 -0.112319 -0.975256
0.052202 -0.030246 0.026481 -0.323903 -0.944199 -0.059792
0.132002 -0.045712 0.137454 -0.374638 0.408626 0.832269
