x y z
0.112927 0.023486 0.016173
0.144759 0.035224 0.109093
0.040971 -0.018099 0.063425
0.139294 -0.027869 0.124827
0.153598 0.014449 0.077896
0.131503 -0.003753 0.118859
0.067039 -0.017787 0.073183
0.117105 0.040174 0.081209
0.033335 0.022669 0.081535
0.149216 0.019171 0.062095
0.100135 -0.005795 0.085133
0.088964 -0.022412 0.058097
0.099919 -0.016730 0.035286
0.123303 -0.007680 0.080991
0.112211 0.001112 0.124369
0.070982 0.029809 0.086792
0.142457 0.017605 0.114658
0.129428 0.009002 0.115728
0.027273 0.034053 0.066045
0.084604 0.055509 0.040983
0.145017 0.051521 0.086769
0.096486 -0.006479 0.136522
0.086789 -0.007401 0.127086
0.031499 0.043710 0.023980
0.145009 0.000099 0.077695
0.147980 0.022724 0.112416
0.151941 0.017596 0.107885
0.091191 0.040834 0.027897
0.056317 0.057732 0.031813
0.095002 0.042648 0.030502
0.142268 0.012968 0.033516
0.059119 0.058019 0.024474
0.125256 -0.058380 0.127611
0.120196 -0.016591 0.064561
0.128263 -0.056829 0.140971
0.138790 -0.031333 0.128709
0.066437 0.059304 0.031889
0.068519 -0.023884 0.059571
0.112793 0.044265 0.035860
0.142237 0.003814 0.110684
0.138604 -0.002334 0.108964
0.128486 -0.054876 0.128567
0.134823 -0.018095 0.125770
0.146613 0.005516 0.099861
0.139265 -0.043007 0.133985
0.143534 -0.001420 0.091772
0.070636 -0.021537 0.133107
0.131983 -0.051101 0.132948
0.112760 0.045860 0.040907
0.056529 -0.020149 0.063588
0.138198 -0.008890 0.042385
0.047749 -0.028200 0.022247
0.064286 -0.005130 0.086728
0.046249 0.027599 0.087276
0.052202 -0.030246 0.026481
0.066492 -0.026108 0.058474
0.097110 0.044098 0.058839
0.134005 -0.005792 0.076764
0.129827 0.017180 0.021875
0.049820 0.049173 0.060206
0.088544 -0.010760 0.141668
0.119275 0.027542 0.114605
0.142776 0.053023 0.086761
0.102199 0.040191 0.068417
0.040235 -0.005247 0.080954
0.106015 0.023822 0.087196
0.044474 -0.028300 0.031623
0.046905 -0.012133 0.078755
0.109801 0.043977 0.035207
0.041103 0.013294 0.087290
0.100482 -0.009691 0.016005
0.082436 -0.003117 0.121482
0.117053 0.000096 0.114669
0.106168 0.008134 0.108413
0.116822 0.040511 0.084370
0.054198 0.043071 0.068590
0.106523 0.043022 0.031546
0.073566 -0.026818 0.142404
0.026432 -0.014758 0.030520
0.132416 -0.053785 0.141128
0.133657 -0.039623 0.124191
0.026613 -0.010328 0.062435
0.122925 -0.050510 0.125960
0.133371 -0.006511 0.091139
